"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","PREV. DAY 
 29-Apr-2024","1W AGO 
 25-Apr-2024","1M AGO 
 01-Apr-2024","1Y AGO 
 02-May-2023","52W H 
","52W L 
","365 D % CHNG 
 02-May-2023","30 D % CHNG 
 01-Apr-2024"
"NIFTY 50","22,648.20","0.19","22,567.85","22,710.50","22,567.85","22,604.85","22,643.40","22,570.35","22,462.00","18,147.65","22,783.35","18,055.45","24.80","0.83"
"NIFTY NEXT 50","66,008.85","1.71","65,149.45","66,058.05","65,090.80","64,900.50","64,488.05","63,704.45","61,634.60","39,774.50","66,058.05","40,034.25","65.96","7.10"
"NIFTY 100","23,541.30","0.45","23,422.90","23,593.20","23,421.90","23,436.50","23,443.80","23,329.80","23,107.15","17,989.30","23,618.70","17,911.70","30.86","1.88"
"NIFTY 200","12,730.55","0.45","12,675.10","12,756.50","12,674.70","12,673.15","12,675.20","12,599.70","12,447.20","9,455.00","12,769.60","9,425.05","34.64","2.28"
"NIFTY 500","21,083.60","0.41","21,010.45","21,126.10","21,009.35","20,997.20","20,992.20","20,867.90","20,492.55","15,300.75","21,146.50","15,265.85","37.79","2.88"
"NIFTY MIDCAP 50","14,243.60","0.58","14,217.75","14,260.45","14,164.55","14,161.90","14,153.05","13,964.35","13,772.60","9,062.20","14,277.55","9,027.25","57.18","3.42"
"NIFTY MIDCAP 100","51,115.10","0.49","51,079.70","51,176.55","50,853.70","50,868.20","50,834.45","50,228.50","48,912.05","32,101.80","51,232.35","32,110.50","59.23","4.50"
"NIFTY SMALLCAP 100","17,019.40","0.04","17,089.30","17,108.25","16,996.55","17,011.80","17,017.85","16,886.80","15,768.40","9,739.10","17,132.60","9,717.80","74.75","7.93"
"INDIA VIX","13.45","4.46","12.87","13.95","12.87","12.87","12.24","10.73","12.08","11.90","16.74","8.18","13.01","11.28"
"NIFTY MIDCAP 150","18,975.25","0.44","18,971.85","19,002.35","18,891.80","18,893.00","18,847.00","18,643.25","18,084.70","12,037.15","19,009.95","12,052.80","57.64","4.92"
"NIFTY SMALLCAP 50","7,866.10","0.06","7,896.85","7,912.65","7,860.35","7,861.20","7,843.75","7,819.95","7,230.95","4,461.45","7,915.40","4,415.60","76.31","8.78"
"NIFTY SMALLCAP 250","15,848.40","0.09","15,891.25","15,906.90","15,819.55","15,833.40","15,824.55","15,739.15","14,762.15","9,452.85","15,929.50","9,482.05","67.66","7.36"
"NIFTY MIDSMALLCAP 400","17,895.80","0.31","17,911.10","17,931.00","17,833.85","17,839.95","17,808.55","17,650.65","16,917.40","11,111.20","17,944.05","11,132.75","61.06","5.78"
